Lp.;Nazwa repozytorium;Nazwa zmiany;Data publikacji;Link URL
162;comments-moderation-dashboard;chore: introduce bunyan for logging (#397);2020-09-03T14:12:55Z;https://github.schibsted.io/bergens-tidende/comments-moderation-dashboard/commit/fc6942d207794465bd516c67d629c98aed28b000
163;comments-moderation-queue;chore: introduce bunyan for logging (#30);2020-09-03T14:13:01Z;https://github.schibsted.io/bergens-tidende/comments-moderation-queue/commit/272ff164b2874f5650dd57a944a59f5979c9bea7
164;comments-bifrost;chore: introduce bunyan for logging (#280);2020-09-03T14:31:21Z;https://github.schibsted.io/bergens-tidende/comments-bifrost/commit/e14f948ccf8f53056b4dc18ecf2bda7e77e9a19d
165;comments-api;chore: introduce bunyan for logging (#423);2020-09-03T14:31:29Z;https://github.schibsted.io/bergens-tidende/comments-api/commit/2dd16f75ab18ef34128ee35ddf879535bbfb3cc0
166;notification-service;feat: add BT template and simplify terraform (#53);2020-09-09T07:43:25Z;https://github.schibsted.io/premium-notifications/notification-service/commit/fdee1fdbf450591b679052e337e4ebd5c1f66f0b
167;notification-service;fix: variables in terraform (#54);2020-09-09T12:09:46Z;https://github.schibsted.io/premium-notifications/notification-service/commit/6458a2b9bf8d2cace986485d4c80da7dfc46c328
168;notification-service;chore: FORCE FULL DEPLOY (#55);2020-09-09T13:30:43Z;https://github.schibsted.io/premium-notifications/notification-service/commit/be935d5843faec04ef0906d2b195e50c92a02aa1
169;hyperion;feat(bt,vg) Enable notifications beta feature (#7651);2020-09-15T09:07:05Z;https://github.schibsted.io/smp-distribution/hyperion/commit/476c2c423cf260a68363be139e13790eb7867477
170;notification-integrations-comments;chore: enable prod (#5);2020-09-15T09:22:54Z;https://github.schibsted.io/premium-notifications/notification-integrations-comments/commit/15acf7252f43e78eb8a13dd032dc554a3cfab26b
171;notification-integrations-comments;fix: single script deploys;2020-09-15T09:30:53Z;https://github.schibsted.io/premium-notifications/notification-integrations-comments/commit/eb21b7099ca47d6190516d84f1ac48a0acff6ab3
172;notification-service;feat: Add DLQs for each queue for easy debugging (#56);2020-09-16T12:29:21Z;https://github.schibsted.io/premium-notifications/notification-service/commit/d3be059f21a6552d3871276050678c61e06fc053
173;notification-service;fix: Custom article url mappings (#57);2020-09-18T07:35:35Z;https://github.schibsted.io/premium-notifications/notification-service/commit/3ad55bb646d295e397e2e940db238ea3ef2a8e1a
174;notification-service;fix: Fallback article url (#58);2020-09-23T11:08:21Z;https://github.schibsted.io/premium-notifications/notification-service/commit/310878e44a1b7c6ec4aba45ddfeec748d7cb262e
175;notification-service;chore: add deploy scripts to package.json (#59);2020-09-23T11:08:31Z;https://github.schibsted.io/premium-notifications/notification-service/commit/1401437ff4208d1c6c91ab12f519d8a0de75f480
176;notification-service;feat: GET notifications (#60);2020-09-23T12:53:21Z;https://github.schibsted.io/premium-notifications/notification-service/commit/ca28a3e9c12caba028e23c956d97c90720c87f95
177;notification-service;fix: email addresses (#61);2020-09-24T13:06:58Z;https://github.schibsted.io/premium-notifications/notification-service/commit/f1e96b65a652c4d06219c88f1f912a9498671f3b
178;notification-service;fix: npm run deploy/remove (#63);2020-09-24T13:40:49Z;https://github.schibsted.io/premium-notifications/notification-service/commit/1dc81974f8ce6d5ee1e9c5d6a143bcd6bbcf952d
179;comments-api;chore: Update DATABASE_PASSWORD and revert update-comments-acceptance-probability migration  (#435);2020-10-01T07:47:55Z;https://github.schibsted.io/bergens-tidende/comments-api/commit/23e9a4cfd176f178ce6503d41981ac6487c71859
180;comments-bifrost;feat: Add feature toggle with publication context and treshold for au… (#284);2020-10-01T14:28:35Z;https://github.schibsted.io/bergens-tidende/comments-bifrost/commit/9b79f40dfd55d8c0c0a69690d356a8a8814accb2
181;moderation-service;feat: add POST /classify endpoint (#192);2020-10-01T14:46:58Z;https://github.schibsted.io/bergens-tidende/moderation-service/commit/4628a5ac15b7372ebf016a0cdb312dc56c68a74e
182;comments-shared;feat(@bt/moderation-service) add classifyComment function (#121);2020-10-01T14:47:57Z;https://github.schibsted.io/bergens-tidende/comments-shared/commit/6a1172439102673dc7b6f0d614af8a9bd07b08a1
183;comments-shared;Publish;2020-10-01T14:56:22Z;https://github.schibsted.io/bergens-tidende/comments-shared/commit/087a8e0a3d7f443d05ec150ce90f6c614f6e372b
184;comments-bifrost;fix: avavis spid secrets (#286);2020-10-02T12:47:32Z;https://github.schibsted.io/bergens-tidende/comments-bifrost/commit/56eeb6ac438b16713cd38395a405bec3b2d793fb
185;hyperion;fix(stri) props for comments (#7916);2020-10-02T14:39:56Z;https://github.schibsted.io/smp-distribution/hyperion/commit/057ab06ceae9356c025329e011b1074539b899d4
186;comments-api;chore: Set Standard-1x / 3 dynos for prod (#438);2020-10-06T09:40:09Z;https://github.schibsted.io/bergens-tidende/comments-api/commit/aea38fa4f4315f1207a57a79d1a9ab3f8b572502
187;hyperion;fix(stri): fix pub id in comments setup (#7927);2020-10-06T11:26:44Z;https://github.schibsted.io/smp-distribution/hyperion/commit/6e181d55e2a1a3db8ad31d411baedaed15ad5efe
188;moderation-service;chore: Change naming toxicity -> acceptance (#193);2020-10-06T11:27:15Z;https://github.schibsted.io/bergens-tidende/moderation-service/commit/7fc1b1aefd70cb29e985ba67d348cb178c6c1665
189;comments-moderation-dashboard;chore: Change naming toxicity -> acceptance (#405);2020-10-06T11:27:22Z;https://github.schibsted.io/bergens-tidende/comments-moderation-dashboard/commit/08187848fcbc653bfe8b26ae046d2530323084c0
190;comments-stats-service;chore: add more caching to comments stats (#50);2020-10-06T12:23:55Z;https://github.schibsted.io/RND/comments-stats-service/commit/03d2688221475f0c20b853fa6c3cdd70226ed0ef
191;notification-service;feat: prepare framework for integration tests (#62);2020-10-08T07:42:10Z;https://github.schibsted.io/premium-notifications/notification-service/commit/984d2e3592dacb348e5978287a36ad9e3f4cf1f8
192;iris-core;chore: update payload in most-commented.js (#7191);2020-10-13T12:44:22Z;https://github.schibsted.io/smp-distribution/iris-core/commit/6c791a03f73345b2d8f5cd11574ab63d7454f3f7
193;comments-api;chore: add contentType to most-commented (#441);2020-10-14T12:21:40Z;https://github.schibsted.io/bergens-tidende/comments-api/commit/6a358fa8ec6611b3a9062e5809707524fef742fa
194;comments-bifrost;feat: sort by best (#291);2020-10-14T12:22:59Z;https://github.schibsted.io/bergens-tidende/comments-bifrost/commit/4be36034eaebc6c977d98bdb480ca401a2067360
195;comments-api;feat: sort by best (#439);2020-10-14T12:23:09Z;https://github.schibsted.io/bergens-tidende/comments-api/commit/923d324fd00635ffb32783c89b18a050d2690e7e
196;notification-service;chore: Change behaviour of replies subscription (#66);2020-10-14T14:02:41Z;https://github.schibsted.io/premium-notifications/notification-service/commit/093f36c21c8e510d33e3aac5e39a4da9191b0dc5
197;comments-bifrost;chore: change prod infra to 2x / (2->)3 dynos (#292);2020-10-15T09:37:42Z;https://github.schibsted.io/bergens-tidende/comments-bifrost/commit/197a397da66e531be91184cc65de2cb775f381f4
198;comments-front;feat: sort by best (#550);2020-10-20T05:53:56Z;https://github.schibsted.io/bergens-tidende/comments-front/commit/eba56df4ea4238cac8f9523cd374178a629a6804
199;hyperion;feat: allow best sorting in core comments (#8059);2020-10-20T14:19:51Z;https://github.schibsted.io/smp-distribution/hyperion/commit/d3eb6cb112d6f8ce2a2e9eaeb63b48c2c732fc06
200;comments-front;feat: add best option to webview (#554);2020-10-21T13:10:21Z;https://github.schibsted.io/bergens-tidende/comments-front/commit/71fe05f098358f7bda73ade5fc7e2ae29a9b15ed
201;comment-rules-service;chore: databases urls check in test;2020-10-22T14:16:41Z;https://github.schibsted.io/bergens-tidende/comment-rules-service/commit/bcaa143797c59fcbf10a10c9b8c256e897ee49bf
202;comment-rules-service;Revert "chore: databases urls check in test";2020-10-22T14:18:38Z;https://github.schibsted.io/bergens-tidende/comment-rules-service/commit/f3a727555446eab0d2bdbd2089096b700f7538b4
